A    aa
ALOFON    aa l ao f ao n
ALOGRAF    aa l ao g r aa f
ALOI    aa l ##
ALOKASI    aa l ao k aa s ih
ALOKRON    aa l ao k r ao n
ALOLEKS    aa l ao l ## k s
ALOMERISME    aa l ao m ## r ih s m ##
ALOMORF    aa l ao m ao r f
ALON    aa l ao n
ALONIM    aa l ao n ih m
ALOPATI    aa l ao p aa t ih
ALOPESIA    aa l ao p ## s ih aa
ALOT    aa l ao t
ALOTROPI    aa l ao t r ao p ih
ALPA    aa l p aa
ALPAKA    aa l p aa k aa
ALPERES    aa l p ## r ## s
ALPUKAH    aa l p uw k aa hh
ALQURAN    aa l k uw r aa n
ALTAR    aa l t aa r
ALTER    aa l t ## r
ALTERATIF    aa l t ## r aa t ih f
ALTERNASI    aa l t ## r n aa s ih
ALTERNATIF    aa l t ## r n aa t ih f
ALTERNATOR    aa l t ## r n aa t ao r
ALTIMETER    aa l t ih m ## t ## r
ALTO    aa l t ao
ALTOKUMULUS    aa l t ao k uw m uw l uw s
ALTOSTRATUS    aa l t ao s t r aa t uw s
ALTRUIS    aa l t r uw ih s
ALTRUISME    aa l t r uw ih s m ##
ALTRUISTIS    aa l t r uw ih s t ih s
ALU    aa l uw
ALU-ALU    aa l uw aa l uw
ALUFIRU    aa l uw f ih r uw
ALUM    aa l uw m
ALUMINA    aa l uw m ih n aa
ALUMINIUM    aa l uw m ih n ih uw m
ALUMNI    aa l uw m n ih
ALUMNUS    aa l uw m n uw s
ALUN    aa l uw n
ALUN-ALUN    aa l uw n aa l uw n
ALUNG    aa l uw ng
ALUP    aa l uw p
ALUR    aa l uw r
ALUR-ALUR    aa l uw r aa l uw r
ALUSI    aa l uw s ih
ALUVIAL    aa l uw f ih aa l
ALUVIUM    aa l uw f ih uw m
ALVEOLAR    aa l f ## ao l aa r
ALVEOLUM    aa l f ## ao l uw m
ALVEOLUS    aa l f ## ao l uw s
ALWAH    aa l w aa hh
ALWASI    aa l w aa s ih
ALWASIA    aa l w aa s ih aa
AM    aa m
AMA    aa m aa
AMABAKDU    aa m aa b aa k d uw
AMAH    aa m aa hh
AMAI-AMAI    aa m ## aa m ##
AMAL    aa m aa l
AMALGAM    aa m aa l g aa m
AMALGAMASI    aa m aa l g aa m aa s ih
AMALGAMATOR    aa m aa l g aa m aa t ao r
AMALIAH    aa m aa l ih aa hh
AMAN    aa m aa n
AMANAH    aa m aa n aa hh
AMANAT    aa m aa n aa t
AMANDEL    aa m aa n d ## l
AMANDEMEN    aa m aa n d ## m ## n
AMANG    aa m aa ng
AMANITIN    aa m aa n ih t ih n
AMAR    aa m aa r
AMARILIS    aa m aa r ih l ih s
AMAT    aa m aa t
AMATIR    aa m aa t ih r
AMATIRISME    aa m aa t ih r ih s m ##
AMATOL    aa m aa t ao l
AMBAH    aa m b aa hh
AMBAH-AMBAH    aa m b aa hh aa m b aa hh
AMBAI    aa m b ##
AMBAI-AMBAI    aa m b ## aa m b ##
AMBAK    aa m b aa k
AMBAL    aa m b aa l
AMBALANG    aa m b aa l aa ng
AMBALELA    aa m b aa l ## l aa
AMBANG    aa m b aa ng
AMBAR    aa m b aa r
AMBARAU    aa m b aa r ##
AMBASADE    aa m b aa s aa d ##
AMBASADOR    aa m b aa s aa d ao r
AMBAU    aa m b ##
AMBEIEN    aa m b ## ## n
AMBEK    aa m b ## k
AMBEN    aa m b ## n
AMBERAL    aa m b ## r aa l
AMBERGRIS    aa m b ## r g r ih s
AMBERIT    aa m b ## r ih t
AMBET    aa m b ## t
AMBI    aa m b ih
AMBIGU    aa m b ih g uw
AMBIGUITAS    aa m b ih g uw ih t aa s
AMBIL    aa m b ih l
AMBILINGUAL    aa m b ih l ih ng uw aa l
AMBIN    aa m b ih n
AMBING    aa m b ih ng
AMBISI    aa m b ih s ih
AMBISIUS    aa m b ih s ih uw s
AMBIVALEN    aa m b ih f aa l ## n
AMBIVALENSI    aa m b ih f aa l ## n s ih
AMBLAS    aa m b l aa s
AMBLEK    aa m b l ## k
AMBLES    aa m b l ## s
AMBLIOBIA    aa m b l ih ao b ih aa
AMBOI    aa m b ##
AMBRENG-AMBRENGAN    aa m b r ## ng aa m b r ## ng aa n
AMBRING    aa m b r ih ng
AMBROL    aa m b r ao l
AMBRUK    aa m b r uw k
AMBU-AMBU    aa m b uw aa m b uw
AMBUH    aa m b uw hh
AMBUL    aa m b uw l
AMBULAKRAL    aa m b uw l aa k r aa l
AMBULANS    aa m b uw l aa n s
AMBULATORI    aa m b uw l aa t ao r ih
AMBUNG    aa m b uw ng
AMBUNG-AMBUNG    aa m b uw ng aa m b uw ng
AMBUR    aa m b uw r
AMBURADUL    aa m b uw r aa d uw l
AMBYAR    aa m b y aa r
AMEBA    aa m ## b aa
AMEBIASIS    aa m ## b ih aa s ih s
AMEBOID    aa m ## b ## d
AMEBOSIT    aa m ## b ao s ih t
AMELIORASI    aa m ## l ih ao r aa s ih
AMELIORATIF    aa m ## l ih ao r aa t ih f
AMEN    aa m ## n
AMENDEMEN    aa m ## n d ## m ## n
AMENOREA    aa m ## n ao r ## aa
AMENSALISME    aa m ## n s aa l ih s m ##
AMENTA    aa m ## n t aa
AMERISIUM    aa m ## r ih s ih uw m
AMEROSPORA    aa m ## r ao s p ao r aa
AMERTA    aa m ## r t aa
AMETABOLA    aa m ## t aa b ao l aa
AMETIS    aa m ## t ih s
AMETOBOLA    aa m ## t ao b ao l aa
AMFETAMIN    aa m f ## t aa m ih n
AMFIARTROSIS    aa m f ih aa r t r ao s ih s
AMFIBI    aa m f ih b ih
AMFIBOL    aa m f ih b ao l
AMFIBOLISME    aa m f ih b ao l ih s m ##
AMFISTON    aa m f ih s t ao n
AMFITEATER    aa m f ih t ## aa t ## r
AMFOTERIK    aa m f ao t ## r ih k
AMI    aa m ih
AMIGDALIN    aa m ih g d aa l ih n
AMIKAL    aa m ih k aa l
AMIL    aa m ih l
AMILASE    aa m ih l aa s ##
AMILOPEKTIN    aa m ih l ao p ## k t ih n
AMIN    aa m ih n
AMIN-AMIN    aa m ih n aa m ih n
AMINA    aa m ih n aa
AMINISASI    aa m ih n ih s aa s ih
AMINO    aa m ih n ao
AMIR    aa m ih r
AMIRULBAHAR    aa m ih r uw l b aa hh aa r
AMIRULHAJ    aa m ih r uw l hh aa jh
AMIRULMUKMININ    aa m ih r uw l m uw k m ih n ih n
AMIS    aa m ih s
AMIT    aa m ih t
AMIT-AMIT    aa m ih t aa m ih t
AMITOSIR    aa m ih t ao s ih r
AMKO    aa m k ao
AMMETER    aa m m ## t ## r
AMNESIA    aa m n ## s ih aa
AMNESTI    aa m n ## s t ih
AMNION    aa m n ih ao n
AMNIOTIK    aa m n ih ao t ih k
AMOI    aa m ##
AMONIA    aa m ao n ih aa
AMONIFIKASI    aa m ao n ih f ih k aa s ih
AMONIT    aa m ao n ih t
AMONIUM    aa m ao n ih uw m
AMOR    aa m ao r
AMORAL    aa m ao r aa l
AMORF    aa m ao r f
AMORTISASI    aa m ao r t ih s aa s ih
AMPAI    aa m p ##
AMPANG    aa m p aa ng
AMPAS    aa m p aa s
AMPAT    aa m p aa t
AMPE    aa m p ##
AMPEAN    aa m p ## aa n
AMPEK    aa m p ## k
AMPEL    aa m p ## l
AMPELA    aa m p ## l aa
AMPELAM    aa m p ## l aa m
AMPELAS    aa m p ## l aa s
AMPERE    aa m p ## r ##
AMPEREMETER    aa m p ## r ## m ## t ## r
AMPEROMETRI    aa m p ## r ao m ## t r ih
AMPISILIN    aa m p ih s ih l ih n
AMPLAS    aa m p l aa s
AMPLIFIKASI    aa m p l ih f ih k aa s ih
AMPLITUDO    aa m p l ih t uw d ao
AMPLOP    aa m p l ao p
AMPO    aa m p ao
AMPROK    aa m p r ao k
AMPRUNG    aa m p r uw ng
AMPU    aa m p uw
AMPUH    aa m p uw hh
AMPUK    aa m p uw k
AMPUL    aa m p uw l
AMPULA    aa m p uw l aa
AMPUN    aa m p uw n
AMPUT    aa m p uw t
AMPUTASI    aa m p uw t aa s ih
AMRA    aa m r aa
AMRIL    aa m r ih l
AMSAL    aa m s aa l
AMTENAR    aa m t ## n aa r
AMUBA    aa m uw b aa
AMUH    aa m uw hh
AMUK    aa m uw k
AMULET    aa m uw l ## t
AMUNG    aa m uw ng
AMUNISI    aa m uw n ih s ih
ANA    aa n aa
ANABASIS    aa n aa b aa s ih s
ANABIOSIS    aa n aa b ih ao s ih s
ANABOLISME    aa n aa b ao l ih s m ##
ANADROM    aa n aa d r ao m
ANAEROB    aa n aa ## r ao b
ANAEROBIK    aa n aa ## r ao b ih k
ANAFILAKSIS    aa n aa f ih l aa k s ih s
ANAFORA    aa n aa f ao r aa
ANAFORIS    aa n aa f ao r ih s
ANAFRODISIAK    aa n aa f r ao d ih s ih aa k
ANAGLIF    aa n aa g l ih f
ANAI-ANAI    aa n ## aa n ##
ANAK    aa n aa k
ANAKOLUTON    aa n aa k ao l uw t ao n
ANAKRONISME    aa n aa k r ao n ih s m ##
ANAKRONISTIS    aa n aa k r ao n ih s t ih s
ANAKRUS    aa n aa k r uw s
ANAL    aa n aa l
ANALEKTA    aa n aa l ## k t aa
ANALEPTIK    aa n aa l ## p t ih k
ANALGESIK    aa n aa l g ## s ih k
ANALIS    aa n aa l ih s
ANALISIS    aa n aa l ih s ih s
ANALITIS    aa n aa l ih t ih s
ANALOG    aa n aa l ao g
ANALOGI    aa n aa l ao g ih
ANALSEKS    aa n aa l s ## k s
ANALSIT    aa n aa l s ih t
ANAMEL    aa n aa m ## l
ANAMNESIS    aa n aa m n ## s ih s
ANAMORFOSIS    aa n aa m ao r f ao s ih s
ANANDA    aa n aa n d aa
ANANG    aa n aa ng
ANANI    aa n aa n ih
ANAPES    aa n aa p ## s
ANAPTIKSIS    aa n aa p t ih k s ih s
ANARKI    aa n aa r k ih
ANARKIS    aa n aa r k ih s
ANARKISME    aa n aa r k ih s m ##
ANARKISTIS    aa n aa r k ih s t ih s
ANASIONAL    aa n aa s ih ao n aa l
ANASIR    aa n aa s ih r
ANASTOMOSIS    aa n aa s t ao m ao s ih s
ANATASE    aa n aa t aa s ##
ANATOMI    aa n aa t ao m ih
ANATOMIS    aa n aa t ao m ih s
ANBIA    aa n b ih aa
ANCA    aa n ch aa
ANCAI    aa n ch ##
ANCAK    aa n ch aa k
ANCAK-ANCAK    aa n ch aa k aa n ch aa k
ANCALA    aa n ch aa l aa
ANCAM    aa n ch aa m
ANCANG    aa n ch aa ng
ANCAR-ANCAR    aa n ch aa r aa n ch aa r
ANCOA    aa n ch ao aa
ANCOL    aa n ch ao l
ANCUK    aa n ch uw k
ANDA    aa n d aa
ANDAI    aa n d ##
ANDAK    aa n d aa k
ANDAKA    aa n d aa k aa
ANDAL    aa n d aa l
ANDALAS    aa n d aa l aa s
ANDALUSIT    aa n d aa l uw s ih t
ANDAM    aa n d aa m
ANDAN    aa n d aa n
ANDANG    aa n d aa ng
ANDANG-ANDANG    aa n d aa ng aa n d aa ng
ANDAPITA    aa n d aa p ih t aa
ANDAR    aa n d aa r
ANDARAH    aa n d aa r aa hh
ANDENG-ANDENG    aa n d ## ng aa n d ## ng
ANDERAK    aa n d ## r aa k
ANDESIT    aa n d ## s ih t
ANDEWI    aa n d ## w ih
ANDIKA    aa n d ih k aa
ANDIKO    aa n d ih k ao
ANDIL    aa n d ih l
ANDILAU    aa n d ih l ##
ANDOK    aa n d ao k
ANDONG    aa n d ao ng
ANDRAGOGI    aa n d r aa g ao g ih
ANDRAWINA    aa n d r aa w ih n aa
ANDROGEN    aa n d r ao g ## n
ANDROGINI    aa n d r ao g ih n ih
ANDROGOGI    aa n d r ao g ao g ih
ANDROLOG    aa n d r ao l ao g
ANDROLOGI    aa n d r ao l ao g ih
ANDUH    aa n d uw hh
ANDUNG    aa n d uw ng
ANDUR    aa n d uw r
ANEH    aa n ## hh
ANEKA    aa n ## k aa
ANEKDOT    aa n ## k d ao t
ANEKSASI    aa n ## k s aa s ih
ANEMER    aa n ## m ## r
ANEMIA    aa n ## m ih aa
ANEMOFILI    aa n ## m ao f ih l ih
ANEMOGRAF    aa n ## m ao g r aa f
ANEMOGRAM    aa n ## m ao g r aa m
ANEMOMETER    aa n ## m ao m ## t ## r
ANEROID    aa n ## r ## d
ANESTESI    aa n ## s t ## s ih
ANESTESIA    aa n ## s t ## s ih aa
ANESTESIOLOG    aa n ## s t ## s ih ao l ao g
ANESTETIS    aa n ## s t ## t ih s
ANEUPLOID    aa n ## uw p l ## d
ANEURISME    aa n ## uw r ih s m ##
ANFAS    aa n f aa s
ANGAH    aa ng aa hh
ANGAN    aa ng aa n
ANGEL    aa ng ## l
ANGGA    aa ng g aa
ANGGAI    aa ng g ##
ANGGAK    aa ng g aa k
ANGGAL    aa ng g aa l
ANGGAN    aa ng g aa n
ANGGAP    aa ng g aa p
ANGGAR    aa ng g aa r
ANGGARA    aa ng g aa r aa
ANGGAU    aa ng g ##
ANGGERKA    aa ng g ## r k aa
ANGGIT    aa ng g ih t
ANGGLAP    aa ng g l aa p
ANGGOROKASIH    aa ng g ao r ao k aa s ih hh
ANGGOTA    aa ng g ao t aa
ANGGREK    aa ng g r ## k
ANGGREKWAN    aa ng g r ## k w aa n
ANGGUH    aa ng g uw hh
ANGGUK    aa ng g uw k
ANGGUL    aa ng g uw l
ANGGUN    aa ng g uw n
ANGGUNG    aa ng g uw ng
ANGGUNG-ANGGIP    aa ng g uw ng aa ng g ih p
ANGGUR    aa ng g uw r
ANGGUT    aa ng g uw t
ANGHUN    aa ng hh uw n
ANGIN    aa ng ih n
ANGINA    aa ng ih n aa
ANGIOGENESIS    aa ng ih ao g ## n ## s ih s
ANGIOLOGI    aa ng ih ao l ao g ih
ANGIOSPERMA    aa ng ih ao s p ## r m aa
ANGIT    aa ng ih t
ANGKA    aa ng k aa
ANGKAK    aa ng k aa k
ANGKAL-ANGKAL    aa ng k aa l aa ng k aa l
ANGKARA    aa ng k aa r aa
ANGKASA    aa ng k aa s aa
ANGKASAWAN    aa ng k aa s aa w aa n
ANGKASAWATI    aa ng k aa s aa w aa t ih
ANGKAT    aa ng k aa t
ANGKEL    aa ng k ## l
ANGKER    aa ng k ## r
ANGKET    aa ng k ## t
ANGKIN    aa ng k ih n
ANGKIT    aa ng k ih t
ANGKLUNG    aa ng k l uw ng
ANGKONG    aa ng k ao ng
ANGKRING    aa ng k r ih ng
ANGKU    aa ng k uw
ANGKUH    aa ng k uw hh
ANGKUK    aa ng k uw k
ANGKUL-ANGKUL    aa ng k uw l aa ng k uw l
ANGKUP    aa ng k uw p
ANGKUR    aa ng k uw r
ANGKUS    aa ng k uw s
ANGKUSA    aa ng k uw s aa
ANGKUT    aa ng k uw t
ANGKUT-ANGKUT    aa ng k uw t aa ng k uw t
ANGLER    aa ng l ## r
ANGLO    aa ng l ao
ANGLONG    aa ng l ao ng
ANGLUNG    aa ng l uw ng
ANGON    aa ng ao n
ANGOP    aa ng ao p
ANGOT    aa ng ao t
ANGPAU    aa ng p ##
ANGSA    aa ng s aa
ANGSANA    aa ng s aa n aa
ANGSOKA    aa ng s ao k aa
ANGSU    aa ng s uw
ANGSUR    aa ng s uw r
ANGUS    aa ng uw s
ANGUT    aa ng uw t
ANHIDROSIS    aa n hh ih d r ao s ih s
ANI    aa n ih
ANI-ANI    aa n ih aa n ih
ANIAYA    aa n ih aa y aa
ANIL    aa n ih l
ANILINA    aa n ih l ih n aa
ANIMASI    aa n ih m aa s ih
ANIMIS    aa n ih m ih s
ANIMISME    aa n ih m ih s m ##
ANIMO    aa n ih m ao
ANING-ANING    aa n ih ng aa n ih ng
ANION    aa n ih ao n
ANIRIDIA    aa n ih r ih d ih aa
ANIS    aa n ih s
ANISOGAMET    aa n ih s ao g aa m ## t
ANISOGAMI    aa n ih s ao g aa m ih
ANISOKORIA    aa n ih s ao k ao r ih aa
ANISOTROPIS    aa n ih s ao t r ao p ih s
ANJA    aa n jh aa
ANJAK    aa n jh aa k
ANJAL    aa n jh aa l
ANJANG    aa n jh aa ng
ANJANG-ANJANG    aa n jh aa ng aa n jh aa ng
ANJANGKARYA    aa n jh aa ng k aa r y aa
ANJANGSANA    aa n jh aa ng s aa n aa
ANJAR    aa n jh aa r
ANJIMAN    aa n jh ih m aa n
ANJING    aa n jh ih ng
ANJING-ANJING    aa n jh ih ng aa n jh ih ng
ANJIR    aa n jh ih r
ANJLOK    aa n jh l ao k
ANJU    aa n jh uw
ANJUNG    aa n jh uw ng
ANJUR    aa n jh uw r
ANKILOSIS    aa n k ih l ao s ih s
ANOA    aa n ao aa
ANODE    aa n ao d ##
ANODIN    aa n ao d ih n
ANOFELES    aa n ao f ## l ## s
ANOKSEMIA    aa n ao k s ## m ih aa
ANOKSIK    aa n ao k s ih k
ANOM    aa n ao m
ANOMALI    aa n ao m aa l ih
ANOMI    aa n ao m ih
ANONIM    aa n ao n ih m
ANONIMITAS    aa n ao n ih m ih t aa s
ANOREKSIA    aa n ao r ## k s ih aa
ANORGANIK    aa n ao r g aa n ih k
ANORGASTIK    aa n ao r g aa s t ih k
ANORTOPIA    aa n ao r t ao p ih aa
ANOSMIA    aa n ao s m ih aa
ANOTASI    aa n ao t aa s ih
ANSA    aa n s aa
ANSAMBEL    aa n s aa m b ## l
ANSAR    aa n s aa r
ANSARI    aa n s aa r ih
ANTA    aa n t aa
ANTAGONIS    aa n t aa g ao n ih s
ANTAGONISME    aa n t aa g ao n ih s m ##
ANTAGONISTIS    aa n t aa g ao n ih s t ih s
ANTAH    aa n t aa hh
ANTAH-BERANTAH    aa n t aa hh b ## r aa n t aa hh
ANTAKESUMA    aa n t aa k ## s uw m aa
ANTALAS    aa n t aa l aa s
ANTALKALI    aa n t aa l k aa l ih
ANTAMIR    aa n t aa m ih r
ANTAN    aa n t aa n
ANTAP    aa n t aa p
ANTAR    aa n t aa r
ANTARA    aa n t aa r aa
ANTARBANGSA    aa n t aa r b aa ng s aa
ANTARBENUA    aa n t aa r b ## n uw aa
ANTARDAERAH    aa n t aa r d aa ## r aa hh
ANTARI    aa n t aa r ih
ANTARIKSA    aa n t aa r ih k s aa
ANTARIKSAWAN    aa n t aa r ih k s aa w aa n
ANTARIKSAWATI    aa n t aa r ih k s aa w aa t ih
ANTARKELOMPOK    aa n t aa r k ## l ao m p ao k
ANTARLINGKUNGAN    aa n t aa r l ih ng k uw ng aa n
ANTARMASTER    aa n t aa r m aa s t ## r
ANTARMOLEKUL    aa n t aa r m ao l ## k uw l
ANTARMUKA    aa n t aa r m uw k aa
ANTARNEGARA    aa n t aa r n ## g aa r aa
ANTARPLANET    aa n t aa r p l aa n ## t
ANTARPRIBADI    aa n t aa r p r ih b aa d ih
ANTARPULAU    aa n t aa r p uw l ##
ANTARRAS    aa n t aa r r aa s
ANTARRUANG    aa n t aa r r uw aa ng
ANTARSEL    aa n t aa r s ## l
ANTARSUKU    aa n t aa r s uw k uw
ANTARTIKA    aa n t aa r t ih k aa
ANTARWILAYAH    aa n t aa r w ih l aa y aa hh
ANTASID    aa n t aa s ih d
ANTASIDA    aa n t aa s ih d aa
ANTAWACANA    aa n t aa w aa ch aa n aa
ANTE    aa n t ##
ANTEDILIVIUM    aa n t ## d ih l ih f ih uw m
ANTEDILUVIUM    aa n t ## d ih l uw f ih uw m
ANTEFIKS    aa n t ## f ih k s
ANTEK    aa n t ## k
ANTEKEN    aa n t ## k ## n
ANTELAS    aa n t ## l aa s
ANTELIKS    aa n t ## l ih k s
ANTELMINTIK    aa n t ## l m ih n t ih k
ANTELOP    aa n t ## l ao p
ANTEM    aa n t ## m
ANTEMERIDIEM    aa n t ## m ## r ih d ih ## m
ANTENA    aa n t ## n aa
ANTENATAL    aa n t ## n aa t aa l
ANTENG    aa n t ## ng
ANTENUL    aa n t ## n uw l
ANTEP    aa n t ## p
ANTER    aa n t ## r
ANTERA    aa n t ## r aa
ANTERIDIUM    aa n t ## r ih d ih uw m
ANTERIOR    aa n t ## r ih ao r
ANTERO    aa n t ## r ao
ANTESEDEN    aa n t ## s ## d ## n
ANTI    aa n t ih
ANTIANEMIA    aa n t ih aa n ## m ih aa
ANTIARTRITIK    aa n t ih aa r t r ih t ih k
ANTIBARION    aa n t ih b aa r ih ao n
ANTIBEKU    aa n t ih b ## k uw
ANTIBIOSIS    aa n t ih b ih ao s ih s
ANTIBIOTIK    aa n t ih b ih ao t ih k
ANTIBODI    aa n t ih b ao d ih
ANTIDEPRESAN    aa n t ih d ## p r ## s aa n
ANTIDIOKSIDA    aa n t ih d ih ao k s ih d aa
ANTIDIURETIK    aa n t ih d ih uw r ## t ih k
ANTIDOT    aa n t ih d ao t
ANTIENZIM    aa n t ih ## n z ih m
ANTIFLOGISTIK    aa n t ih f l ao g ih s t ih k
ANTIGEN    aa n t ih g ## n
ANTIGRAVITASI    aa n t ih g r aa f ih t aa s ih
ANTIH    aa n t ih hh
ANTIHISTAMIN    aa n t ih hh ih s t aa m ih n
ANTIJASAD    aa n t ih jh aa s aa d
ANTIK    aa n t ih k
ANTIKARAT    aa n t ih k aa r aa t
ANTIKATALIS    aa n t ih k aa t aa l ih s
ANTIKLIMAKS    aa n t ih k l ih m aa k s
ANTIKLIN    aa n t ih k l ih n
ANTIKLINAL    aa n t ih k l ih n aa l
ANTIKLOR    aa n t ih k l ao r
ANTIKONSEPSI    aa n t ih k ao n s ## p s ih
ANTIKRISTUS    aa n t ih k r ih s t uw s
ANTIKUARI    aa n t ih k uw aa r ih
ANTIKUARIAT    aa n t ih k uw aa r ih aa t
ANTIMATERI    aa n t ih m aa t ## r ih
ANTIMETARI    aa n t ih m ## t aa r ih
ANTIMONIUM    aa n t ih m ao n ih uw m
ANTIMUNTAH    aa n t ih m uw n t aa hh
ANTING    aa n t ih ng
ANTINOMI    aa n t ih n ao m ih
ANTINOVEL    aa n t ih n ao f ## l
ANTIPARTIKEL    aa n t ih p aa r t ih k ## l
ANTIPATI    aa n t ih p aa t ih
ANTIPENAWAR    aa n t ih p ## n aa w aa r
ANTIPIRETIK    aa n t ih p ih r ## t ih k
ANTIPODE    aa n t ih p ao d ##
ANTIPROTON    aa n t ih p r ao t ao n
ANTIPRURITIK    aa n t ih p r uw r ih t ih k
ANTISEMITISME    aa n t ih s ## m ih t ih s m ##
ANTISEPSIS    aa n t ih s ## p s ih s
ANTISEPTIK    aa n t ih s ## p t ih k
ANTISIKLOGENESIS    aa n t ih s ih k l ao g ## n ## s ih s
ANTISIKLON    aa n t ih s ih k l ao n
ANTISIKLONAL    aa n t ih s ih k l ao n aa l
ANTISIKLONIS    aa n t ih s ih k l ao n ih s
ANTISIMPUL    aa n t ih s ih m p uw l
ANTISIPASI    aa n t ih s ih p aa s ih
ANTISIPATIF    aa n t ih s ih p aa t ih f
ANTITANK    aa n t ih t aa n k
ANTITESIS    aa n t ih t ## s ih s
ANTITOKSIN    aa n t ih t ao k s ih n
ANTITRAGUS    aa n t ih t r aa g uw s
ANTIWIRAWAN    aa n t ih w ih r aa w aa n
ANTIZARAH    aa n t ih z aa r aa hh
ANTOI    aa n t ##
ANTOLOGI    aa n t ao l ao g ih
ANTONIM    aa n t ao n ih m
ANTONIMI    aa n t ao n ih m ih
ANTOP    aa n t ao p
ANTOSIAN    aa n t ao s ih aa n
ANTRAKNOSA    aa n t r aa k n ao s aa
ANTRAKS    aa n t r aa k s
ANTRASENA    aa n t r aa s ## n aa
ANTRASIAN    aa n t r aa s ih aa n
ANTRASIT    aa n t r aa s ih t
ANTRE    aa n t r ##
ANTRI    aa n t r ih
ANTROMOMETER    aa n t r ao m ao m ## t ## r
ANTROMORFIS    aa n t r ao m ao r f ih s
ANTROPOBIOLOGI    aa n t r ao p ao b ih ao l ao g ih
ANTROPODA    aa n t r ao p ao d aa
ANTROPOFAGI    aa n t r ao p ao f aa g ih
ANTROPOGEOGRAFI    aa n t r ao p ao g ## ao g r aa f ih
ANTROPOID    aa n t r ao p ## d
ANTROPOLOG    aa n t r ao p ao l ao g
ANTROPOLOGI    aa n t r ao p ao l ao g ih
ANTROPOMETER    aa n t r ao p ao m ## t ## r
ANTROPOMORFISME    aa n t r ao p ao m ao r f ih s m ##
ANTROPONIMI    aa n t r ao p ao n ih m ih
ANTROPOSENTRIS    aa n t r ao p ao s ## n t r ih s
ANTROPOSENTRISME    aa n t r ao p ao s ## n t r ih s m ##
ANTROPOSOFI    aa n t r ao p ao s ao f ih
ANTUK    aa n t uw k
ANTUL    aa n t uw l
ANTUN    aa n t uw n
ANTUNG-ANTUNG    aa n t uw ng aa n t uw ng
ANTUP    aa n t uw p
ANTURIUM    aa n t uw r ih uw m
ANTUSIAS    aa n t uw s ih aa s
ANTUSIASME    aa n t uw s ih aa s m ##
ANU    aa n uw
ANUAL    aa n uw aa l
ANUGERAH    aa n uw g ## r aa hh
ANUITAS    aa n uw ih t aa s
ANULIR    aa n uw l ih r
ANULUS    aa n uw l uw s
ANUMERTA    aa n uw m ## r t aa
ANUNASIKA    aa n uw n aa s ih k aa
ANURESIS    aa n uw r ## s ih s
ANURIA    aa n uw r ih aa
ANUS    aa n uw s
ANUSWARA    aa n uw s w aa r aa
ANUT    aa n uw t
ANYAK    aa ny aa k
ANYAM    aa ny aa m
ANYANG    aa ny aa ng
ANYANG-ANYANG    aa ny aa ng aa ny aa ng
ANYAR    aa ny aa r
ANYEL    aa ny ## l
ANYELIR    aa ny ## l ih r
ANYEP    aa ny ## p
ANYES    aa ny ## s
ANYIK    aa ny ih k
ANYIR    aa ny ih r
AORTA    aa ao r t aa
APA    aa p aa
APABILA    aa p aa b ih l aa
APAK    aa p aa k
APAKAH    aa p aa k aa hh
APAKALA    aa p aa k aa l aa
APALAGI    aa p aa l aa g ih
APAM    aa p aa m
APANASE    aa p aa n aa s ##
APAR    aa p aa r
APARAT    aa p aa r aa t
APARATUR    aa p aa r aa t uw r
APARATUS    aa p aa r aa t uw s
APARTEMEN    aa p aa r t ## m ## n
APARTEMENISASI    aa p aa r t ## m ## n ih s aa s ih
APARTHEID    aa p aa r t hh ## d
APARTOTEL    aa p aa r t ao t ## l
APAS    aa p aa s
APATAH    aa p aa t aa hh
APATI    aa p aa t ih
APATIS    aa p aa t ih s
APATRIDE    aa p aa t r ih d ##
APE    aa p ##
APEK    aa p ## k
APEL    aa p ## l
APELATIVA    aa p ## l aa t ih f aa
APENDEKTOMI    aa p ## n d ## k t ao m ih
APENDIKS    aa p ## n d ih k s
APENDISITIS    aa p ## n d ih s ih t ih s
APEPSI    aa p ## p s ih
APERSEPSI    aa p ## r s ## p s ih
APES    aa p ## s
APHELION    aa p hh ## l ih ao n
APHELIOTROPISME    aa p hh ## l ih ao t r ao p ih s m ##
API    aa p ih
API-API    aa p ih aa p ih
APIK    aa p ih k
APIKAL    aa p ih k aa l
APIKULTUR    aa p ih k uw l t uw r
APILAN    aa p ih l aa n
APING    aa p ih ng
APION    aa p ih ao n
APIT    aa p ih t
APIT-APIT    aa p ih t aa p ih t
APIUM    aa p ih uw m
APKIR    aa p k ih r
APLASI    aa p l aa s ih
APLAUS    aa p l ## s
APLIKASI    aa p l ih k aa s ih
APLIKATIF    aa p l ih k aa t ih f
APLUS    aa p l uw s
APNEA    aa p n ## aa
APO    aa p ao
APODAL    aa p ao d aa l
APOENZIM    aa p ao ## n z ih m
APOGAMI    aa p ao g aa m ih
APOGE    aa p ao g ##
APOGRAF    aa p ao g r aa f
APOK    aa p ao k
APOKALIPS    aa p ao k aa l ih p s
APOKALIPTIK    aa p ao k aa l ih p t ih k
APOKOPE    aa p ao k ao p ##
APOKRIFA    aa p ao k r ih f aa
APOKRIN    aa p ao k r ih n
APOKROMATIK    aa p ao k r ao m aa t ih k
APOLITIS    aa p ao l ih t ih s
APOLOGETIKA    aa p ao l ao g ## t ih k aa
